Date : 2026-08-06 22:41:39
Directory : c:\First Person Shooter
Total : 415 files,  51805 codes, 19573 comments, 11179 blanks, all 82557 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\First Person Shooter\Libarys\include\glm\geometric.hpp                          | C++                |         30 |         73 |         14 |        117 |
| c:\First Person Shooter\Libarys\include\glm\glm.hpp                                | C++                |         29 |        101 |          7 |        137 |
| c:\First Person Shooter\Libarys\include\glm\gtc\bitfield.hpp                       | C++                |         57 |        170 |         40 |        267 |
| c:\First Person Shooter\Libarys\include\glm\gtc\bitfield.inl                       | C++                |        486 |          1 |        140 |        627 |
| c:\First Person Shooter\Libarys\include\glm\gtc\color_space.hpp                    | C++                |         22 |         24 |         11 |         57 |
| c:\First Person Shooter\Libarys\include\glm\gtc\color_space.inl                    | C++                |         72 |          2 |         11 |         85 |
| c:\First Person Shooter\Libarys\include\glm\gtc\constants.hpp                      | C++                |         63 |         69 |         34 |        166 |
| c:\First Person Shooter\Libarys\include\glm\gtc\constants.inl                      | C++                |        138 |          1 |         29 |        168 |
| c:\First Person Shooter\Libarys\include\glm\gtc\epsilon.hpp                        | C++                |         18 |         32 |         11 |         61 |
| c:\First Person Shooter\Libarys\include\glm\gtc\epsilon.inl                        | C++                |         67 |          2 |         12 |         81 |
| c:\First Person Shooter\Libarys\include\glm\gtc\integer.hpp                        | C++                |         20 |         36 |         10 |         66 |
| c:\First Person Shooter\Libarys\include\glm\gtc\integer.inl                        | C++                |         56 |          3 |         10 |         69 |
| c:\First Person Shooter\Libarys\include\glm\gtc\matrix_access.hpp                  | C++                |         27 |         23 |         11 |         61 |
| c:\First Person Shooter\Libarys\include\glm\gtc\matrix_access.inl                  | C++                |         53 |          1 |          9 |         63 |
| c:\First Person Shooter\Libarys\include\glm\gtc\matrix_integer.hpp                 | C++                |        168 |        207 |        113 |        488 |
| c:\First Person Shooter\Libarys\include\glm\gtc\matrix_inverse.hpp                 | C++                |         17 |         25 |          9 |         51 |
| c:\First Person Shooter\Libarys\include\glm\gtc\matrix_inverse.inl                 | C++                |         99 |          1 |         19 |        119 |
| c:\First Person Shooter\Libarys\include\glm\gtc\matrix_transform.hpp               | C++                |         12 |         20 |          5 |         37 |
| c:\First Person Shooter\Libarys\include\glm\gtc\matrix_transform.inl               | C++                |          3 |          0 |          1 |          4 |
| c:\First Person Shooter\Libarys\include\glm\gtc\noise.hpp                          | C++                |         27 |         25 |         10 |         62 |
| c:\First Person Shooter\Libarys\include\glm\gtc\noise.inl                          | C++                |        582 |        133 |         93 |        808 |
| c:\First Person Shooter\Libarys\include\glm\gtc\packing.hpp                        | C++                |         87 |        561 |         81 |        729 |
| c:\First Person Shooter\Libarys\include\glm\gtc\packing.inl                        | C++                |        752 |         61 |        126 |        939 |
| c:\First Person Shooter\Libarys\include\glm\gtc\quaternion.hpp                     | C++                |         60 |         93 |         21 |        174 |
| c:\First Person Shooter\Libarys\include\glm\gtc\quaternion.inl                     | C++                |        169 |          1 |         31 |        201 |
| c:\First Person Shooter\Libarys\include\glm\gtc\quaternion_simd.inl                | C++                |          0 |          0 |          1 |          1 |
| c:\First Person Shooter\Libarys\include\glm\gtc\random.hpp                         | C++                |         25 |         44 |         14 |         83 |
| c:\First Person Shooter\Libarys\include\glm\gtc\random.inl                         | C++                |        262 |          0 |         42 |        304 |
| c:\First Person Shooter\Libarys\include\glm\gtc\reciprocal.hpp                     | C++                |         33 |         84 |         19 |        136 |
| c:\First Person Shooter\Libarys\include\glm\gtc\reciprocal.inl                     | C++                |        151 |         13 |         28 |        192 |
| c:\First Person Shooter\Libarys\include\glm\gtc\round.hpp                          | C++                |         38 |        104 |         19 |        161 |
| c:\First Person Shooter\Libarys\include\glm\gtc\round.inl                          | C++                |        118 |         13 |         25 |        156 |
| c:\First Person Shooter\Libarys\include\glm\gtc\type_aligned.hpp                   | C++                |        547 |        384 |        385 |      1,316 |
| c:\First Person Shooter\Libarys\include\glm\gtc\type_precision.hpp                 | C++                |        514 |      1,030 |        595 |      2,139 |
| c:\First Person Shooter\Libarys\include\glm\gtc\type_precision.inl                 | C++                |          3 |          1 |          3 |          7 |
| c:\First Person Shooter\Libarys\include\glm\gtc\type_ptr.hpp                       | C++                |         89 |        102 |         40 |        231 |
| c:\First Person Shooter\Libarys\include\glm\gtc\type_ptr.inl                       | C++                |        320 |          4 |         63 |        387 |
| c:\First Person Shooter\Libarys\include\glm\gtc\ulp.hpp                            | C++                |         38 |         95 |         20 |        153 |
| c:\First Person Shooter\Libarys\include\glm\gtc\ulp.inl                            | C++                |        150 |          1 |         23 |        174 |
| c:\First Person Shooter\Libarys\include\glm\gtc\vec1.hpp                           | C++                |         14 |         12 |          5 |         31 |
| c:\First Person Shooter\Libarys\include\glm\gtx\associated_min_max.hpp             | C++                |        119 |         60 |         29 |        208 |
| c:\First Person Shooter\Libarys\include\glm\gtx\associated_min_max.inl             | C++                |        310 |         19 |         26 |        355 |
| c:\First Person Shooter\Libarys\include\glm\gtx\bit.hpp                            | C++                |         31 |         50 |         18 |         99 |
| c:\First Person Shooter\Libarys\include\glm\gtx\bit.inl                            | C++                |         64 |         11 |         18 |         93 |
| c:\First Person Shooter\Libarys\include\glm\gtx\closest_point.hpp                  | C++                |         23 |         18 |          9 |         50 |
| c:\First Person Shooter\Libarys\include\glm\gtx\closest_point.inl                  | C++                |         35 |          3 |          8 |         46 |
| c:\First Person Shooter\Libarys\include\glm\gtx\color_encoding.hpp                 | C++                |         24 |         20 |         11 |         55 |
| c:\First Person Shooter\Libarys\include\glm\gtx\color_encoding.inl                 | C++                |         35 |          1 |         10 |         46 |
| c:\First Person Shooter\Libarys\include\glm\gtx\color_space.hpp                    | C++                |         33 |         27 |         13 |         73 |
| c:\First Person Shooter\Libarys\include\glm\gtx\color_space.inl                    | C++                |        117 |          7 |         18 |        142 |
| c:\First Person Shooter\Libarys\include\glm\gtx\color_space_YCoCg.hpp              | C++                |         25 |         25 |         11 |         61 |
| c:\First Person Shooter\Libarys\include\glm\gtx\color_space_YCoCg.inl              | C++                |         98 |          1 |          9 |        108 |
| c:\First Person Shooter\Libarys\include\glm\gtx\common.hpp                         | C++                |         24 |         42 |         11 |         77 |
| c:\First Person Shooter\Libarys\include\glm\gtx\common.inl                         | C++                |        105 |          2 |         19 |        126 |
| c:\First Person Shooter\Libarys\include\glm\gtx\compatibility.hpp                  | C++                |         98 |         15 |         21 |        134 |
| c:\First Person Shooter\Libarys\include\glm\gtx\compatibility.inl                  | C++                |         55 |          1 |          7 |         63 |
| c:\First Person Shooter\Libarys\include\glm\gtx\component_wise.hpp                 | C++                |         26 |         31 |         13 |         70 |
| c:\First Person Shooter\Libarys\include\glm\gtx\component_wise.inl                 | C++                |        109 |          1 |         18 |        128 |
| c:\First Person Shooter\Libarys\include\glm\gtx\dual_quaternion.hpp                | C++                |        121 |         89 |         65 |        275 |
| c:\First Person Shooter\Libarys\include\glm\gtx\dual_quaternion.inl                | C++                |        286 |         12 |         55 |        353 |
| c:\First Person Shooter\Libarys\include\glm\gtx\easing.hpp                         | C++                |         82 |         97 |         41 |        220 |
| c:\First Person Shooter\Libarys\include\glm\gtx\easing.inl                         | C++                |        334 |         32 |         71 |        437 |
| c:\First Person Shooter\Libarys\include\glm\gtx\euler_angles.hpp                   | C++                |        188 |        100 |         48 |        336 |
| c:\First Person Shooter\Libarys\include\glm\gtx\euler_angles.inl                   | C++                |        833 |          1 |         66 |        900 |
| c:\First Person Shooter\Libarys\include\glm\gtx\extend.hpp                         | C++                |         18 |         17 |          8 |         43 |
| c:\First Person Shooter\Libarys\include\glm\gtx\extend.inl                         | C++                |         43 |          1 |          5 |         49 |
| c:\First Person Shooter\Libarys\include\glm\gtx\extended_min_max.hpp               | C++                |         89 |         69 |         25 |        183 |
| c:\First Person Shooter\Libarys\include\glm\gtx\extended_min_max.inl               | C++                |        189 |          4 |         26 |        219 |
| c:\First Person Shooter\Libarys\include\glm\gtx\exterior_product.hpp               | C++                |         16 |         22 |          8 |         46 |
| c:\First Person Shooter\Libarys\include\glm\gtx\exterior_product.inl               | C++                |         20 |          1 |          6 |         27 |
| c:\First Person Shooter\Libarys\include\glm\gtx\fast_exponential.hpp               | C++                |         37 |         40 |         19 |         96 |
| c:\First Person Shooter\Libarys\include\glm\gtx\fast_exponential.inl               | C++                |         73 |         50 |         14 |        137 |
| c:\First Person Shooter\Libarys\include\glm\gtx\fast_square_root.hpp               | C++                |         33 |         44 |         16 |         93 |
| c:\First Person Shooter\Libarys\include\glm\gtx\fast_square_root.inl               | C++                |         56 |          6 |         14 |         76 |
| c:\First Person Shooter\Libarys\include\glm\gtx\fast_trigonometry.hpp              | C++                |         29 |         36 |         15 |         80 |
| c:\First Person Shooter\Libarys\include\glm\gtx\fast_trigonometry.inl              | C++                |        113 |          8 |         22 |        143 |
| c:\First Person Shooter\Libarys\include\glm\gtx\float_notmalize.inl                | C++                |          9 |          1 |          4 |         14 |
| c:\First Person Shooter\Libarys\include\glm\gtx\functions.hpp                      | C++                |         25 |         22 |         10 |         57 |
| c:\First Person Shooter\Libarys\include\glm\gtx\functions.inl                      | C++                |         25 |          1 |          5 |         31 |
| c:\First Person Shooter\Libarys\include\glm\gtx\gradient_paint.hpp                 | C++                |         25 |         20 |          9 |         54 |
| c:\First Person Shooter\Libarys\include\glm\gtx\gradient_paint.inl                 | C++                |         32 |          1 |          4 |         37 |
| c:\First Person Shooter\Libarys\include\glm\gtx\handed_coordinate_space.hpp        | C++                |         23 |         19 |          9 |         51 |
| c:\First Person Shooter\Libarys\include\glm\gtx\handed_coordinate_space.inl        | C++                |         23 |          1 |          3 |         27 |
| c:\First Person Shooter\Libarys\include\glm\gtx\hash.hpp                           | C++                |        106 |         11 |         26 |        143 |
| c:\First Person Shooter\Libarys\include\glm\gtx\hash.inl                           | C++                |        158 |         10 |         17 |        185 |
| c:\First Person Shooter\Libarys\include\glm\gtx\integer.hpp                        | C++                |         25 |         35 |         17 |         77 |
| c:\First Person Shooter\Libarys\include\glm\gtx\integer.inl                        | C++                |        131 |         25 |         30 |        186 |
| c:\First Person Shooter\Libarys\include\glm\gtx\intersect.hpp                      | C++                |         49 |         31 |         13 |         93 |
| c:\First Person Shooter\Libarys\include\glm\gtx\intersect.inl                      | C++                |        156 |         13 |         32 |        201 |
| c:\First Person Shooter\Libarys\include\glm\gtx\io.hpp                             | C++                |        138 |         23 |         41 |        202 |
| c:\First Person Shooter\Libarys\include\glm\gtx\io.inl                             | C++                |        367 |          2 |         72 |        441 |
| c:\First Person Shooter\Libarys\include\glm\gtx\log_base.hpp                       | C++                |         21 |         19 |          9 |         49 |
| c:\First Person Shooter\Libarys\include\glm\gtx\log_base.inl                       | C++                |         13 |          1 |          3 |         17 |
| c:\First Person Shooter\Libarys\include\glm\gtx\matrix_cross_product.hpp           | C++                |         19 |         20 |          9 |         48 |
| c:\First Person Shooter\Libarys\include\glm\gtx\matrix_cross_product.inl           | C++                |         33 |          1 |          4 |         38 |
| c:\First Person Shooter\Libarys\include\glm\gtx\matrix_decompose.hpp               | C++                |         22 |         17 |          8 |         47 |
| c:\First Person Shooter\Libarys\include\glm\gtx\matrix_decompose.inl               | C++                |        113 |         42 |         32 |        187 |
| c:\First Person Shooter\Libarys\include\glm\gtx\matrix_factorisation.hpp           | C++                |         21 |         37 |         12 |         70 |
| c:\First Person Shooter\Libarys\include\glm\gtx\matrix_factorisation.inl           | C++                |         53 |         17 |         15 |         85 |
| c:\First Person Shooter\Libarys\include\glm\gtx\matrix_interpolation.hpp           | C++                |         25 |         25 |         11 |         61 |
| c:\First Person Shooter\Libarys\include\glm\gtx\matrix_interpolation.inl           | C++                |        121 |          1 |          8 |        130 |
| c:\First Person Shooter\Libarys\include\glm\gtx\matrix_major_storage.hpp           | C++                |         61 |         40 |         19 |        120 |
| c:\First Person Shooter\Libarys\include\glm\gtx\matrix_major_storage.inl           | C++                |        153 |          1 |         13 |        167 |
| c:\First Person Shooter\Libarys\include\glm\gtx\matrix_operation.hpp               | C++                |         46 |         39 |         19 |        104 |
| c:\First Person Shooter\Libarys\include\glm\gtx\matrix_operation.inl               | C++                |        156 |          1 |         20 |        177 |
| c:\First Person Shooter\Libarys\include\glm\gtx\matrix_query.hpp                   | C++                |         31 |         32 |         15 |         78 |
| c:\First Person Shooter\Libarys\include\glm\gtx\matrix_query.inl                   | C++                |        103 |          1 |         10 |        114 |
| c:\First Person Shooter\Libarys\include\glm\gtx\matrix_transform_2d.hpp            | C++                |         34 |         36 |         12 |         82 |
| c:\First Person Shooter\Libarys\include\glm\gtx\matrix_transform_2d.inl            | C++                |         56 |          2 |         11 |         69 |
| c:\First Person Shooter\Libarys\include\glm\gtx\mixed_product.hpp                  | C++                |         18 |         16 |          8 |         42 |
| c:\First Person Shooter\Libarys\include\glm\gtx\mixed_product.inl                  | C++                |         13 |          1 |          2 |         16 |
| c:\First Person Shooter\Libarys\include\glm\gtx\norm.hpp                           | C++                |         35 |         37 |         17 |         89 |
| c:\First Person Shooter\Libarys\include\glm\gtx\norm.inl                           | C++                |         79 |          1 |         16 |         96 |
| c:\First Person Shooter\Libarys\include\glm\gtx\normal.hpp                         | C++                |         15 |         19 |          8 |         42 |
| c:\First Person Shooter\Libarys\include\glm\gtx\normal.inl                         | C++                |         13 |          1 |          2 |         16 |
| c:\First Person Shooter\Libarys\include\glm\gtx\normalize_dot.hpp                  | C++                |         17 |         24 |          9 |         50 |
| c:\First Person Shooter\Libarys\include\glm\gtx\normalize_dot.inl                  | C++                |         13 |          1 |          3 |         17 |
| c:\First Person Shooter\Libarys\include\glm\gtx\number_precision.hpp               | C++                |         26 |         23 |         13 |         62 |
| c:\First Person Shooter\Libarys\include\glm\gtx\number_precision.inl               | C++                |          3 |          1 |          3 |          7 |
| c:\First Person Shooter\Libarys\include\glm\gtx\optimum_pow.hpp                    | C++                |         21 |         24 |         10 |         55 |
| c:\First Person Shooter\Libarys\include\glm\gtx\optimum_pow.inl                    | C++                |         18 |          1 |          4 |         23 |
| c:\First Person Shooter\Libarys\include\glm\gtx\orthonormalize.hpp                 | C++                |         19 |         22 |          9 |         50 |
| c:\First Person Shooter\Libarys\include\glm\gtx\orthonormalize.inl                 | C++                |         22 |          1 |          7 |         30 |
| c:\First Person Shooter\Libarys\include\glm\gtx\perpendicular.hpp                  | C++                |         16 |         18 |          8 |         42 |
| c:\First Person Shooter\Libarys\include\glm\gtx\perpendicular.inl                  | C++                |          8 |          1 |          2 |         11 |
| c:\First Person Shooter\Libarys\include\glm\gtx\polar_coordinates.hpp              | C++                |         19 |         21 |          9 |         49 |
| c:\First Person Shooter\Libarys\include\glm\gtx\polar_coordinates.inl              | C++                |         30 |          1 |          6 |         37 |
| c:\First Person Shooter\Libarys\include\glm\gtx\projection.hpp                     | C++                |         15 |         21 |          8 |         44 |
| c:\First Person Shooter\Libarys\include\glm\gtx\projection.inl                     | C++                |          8 |          1 |          2 |         11 |
| c:\First Person Shooter\Libarys\include\glm\gtx\quaternion.hpp                     | C++                |         78 |         73 |         24 |        175 |
| c:\First Person Shooter\Libarys\include\glm\gtx\quaternion.inl                     | C++                |        128 |          9 |         23 |        160 |
| c:\First Person Shooter\Libarys\include\glm\gtx\range.hpp                          | C++                |         66 |         15 |         18 |         99 |
| c:\First Person Shooter\Libarys\include\glm\gtx\raw_data.hpp                       | C++                |         18 |         23 |         11 |         52 |
| c:\First Person Shooter\Libarys\include\glm\gtx\raw_data.inl                       | C++                |          0 |          1 |          2 |          3 |
| c:\First Person Shooter\Libarys\include\glm\gtx\rotate_normalized_axis.hpp         | C++                |         25 |         35 |          9 |         69 |
| c:\First Person Shooter\Libarys\include\glm\gtx\rotate_normalized_axis.inl         | C++                |         46 |          2 |         11 |         59 |
| c:\First Person Shooter\Libarys\include\glm\gtx\rotate_vector.hpp                  | C++                |         63 |         43 |         18 |        124 |
| c:\First Person Shooter\Libarys\include\glm\gtx\rotate_vector.inl                  | C++                |        149 |         18 |         21 |        188 |
| c:\First Person Shooter\Libarys\include\glm\gtx\scalar_multiplication.hpp          | C++                |         53 |         13 |         10 |         76 |
| c:\First Person Shooter\Libarys\include\glm\gtx\scalar_relational.hpp              | C++                |         13 |         15 |          9 |         37 |
| c:\First Person Shooter\Libarys\include\glm\gtx\scalar_relational.inl              | C++                |         78 |          1 |         10 |         89 |
| c:\First Person Shooter\Libarys\include\glm\gtx\spline.hpp                         | C++                |         35 |         21 |         10 |         66 |
| c:\First Person Shooter\Libarys\include\glm\gtx\spline.inl                         | C++                |         51 |          1 |          9 |         61 |
| c:\First Person Shooter\Libarys\include\glm\gtx\std_based_type.hpp                 | C++                |         22 |         32 |         15 |         69 |
| c:\First Person Shooter\Libarys\include\glm\gtx\std_based_type.inl                 | C++                |          3 |          1 |          3 |          7 |
| c:\First Person Shooter\Libarys\include\glm\gtx\string_cast.hpp                    | C++                |         23 |         21 |          9 |         53 |
| c:\First Person Shooter\Libarys\include\glm\gtx\string_cast.inl                    | C++                |        427 |          1 |         65 |        493 |
| c:\First Person Shooter\Libarys\include\glm\gtx\texture.hpp                        | C++                |         17 |         21 |          9 |         47 |
| c:\First Person Shooter\Libarys\include\glm\gtx\texture.inl                        | C++                |         13 |          1 |          4 |         18 |
| c:\First Person Shooter\Libarys\include\glm\gtx\transform.hpp                      | C++                |         24 |         27 |         10 |         61 |
| c:\First Person Shooter\Libarys\include\glm\gtx\transform.inl                      | C++                |         18 |          1 |          5 |         24 |
| c:\First Person Shooter\Libarys\include\glm\gtx\transform2.hpp                     | C++                |         32 |         40 |         18 |         90 |
| c:\First Person Shooter\Libarys\include\glm\gtx\transform2.inl                     | C++                |        110 |          1 |         15 |        126 |
| c:\First Person Shooter\Libarys\include\glm\gtx\type_aligned.hpp                   | C++                |        231 |        468 |        284 |        983 |
| c:\First Person Shooter\Libarys\include\glm\gtx\type_aligned.inl                   | C++                |          3 |          1 |          3 |          7 |
| c:\First Person Shooter\Libarys\include\glm\gtx\type_trait.hpp                     | C++                |         59 |         15 |         12 |         86 |
| c:\First Person Shooter\Libarys\include\glm\gtx\type_trait.inl                     | C++                |         51 |          5 |          6 |         62 |
| c:\First Person Shooter\Libarys\include\glm\gtx\vec_swizzle.hpp                    | C++                |      1,947 |        347 |        489 |      2,783 |
| c:\First Person Shooter\Libarys\include\glm\gtx\vector_angle.hpp                   | C++                |         22 |         26 |         10 |         58 |
| c:\First Person Shooter\Libarys\include\glm\gtx\vector_angle.inl                   | C++                |         36 |          2 |          7 |         45 |
| c:\First Person Shooter\Libarys\include\glm\gtx\vector_query.hpp                   | C++                |         27 |         27 |         13 |         67 |
| c:\First Person Shooter\Libarys\include\glm\gtx\vector_query.inl                   | C++                |        128 |          1 |         26 |        155 |
| c:\First Person Shooter\Libarys\include\glm\gtx\wrap.hpp                           | C++                |         22 |         23 |         11 |         56 |
| c:\First Person Shooter\Libarys\include\glm\gtx\wrap.inl                           | C++                |         48 |          1 |          9 |         58 |
| c:\First Person Shooter\Libarys\include\glm\integer.hpp                            | C++                |         55 |        139 |         19 |        213 |
| c:\First Person Shooter\Libarys\include\glm\mat2x2.hpp                             | C++                |          5 |          2 |          3 |         10 |
| c:\First Person Shooter\Libarys\include\glm\mat2x3.hpp                             | C++                |          5 |          2 |          3 |         10 |
| c:\First Person Shooter\Libarys\include\glm\mat2x4.hpp                             | C++                |          5 |          2 |          3 |         10 |
| c:\First Person Shooter\Libarys\include\glm\mat3x2.hpp                             | C++                |          5 |          2 |          3 |         10 |
| c:\First Person Shooter\Libarys\include\glm\mat3x3.hpp                             | C++                |          5 |          2 |          2 |          9 |
| c:\First Person Shooter\Libarys\include\glm\mat3x4.hpp                             | C++                |          5 |          2 |          2 |          9 |
| c:\First Person Shooter\Libarys\include\glm\mat4x2.hpp                             | C++                |          5 |          2 |          3 |         10 |
| c:\First Person Shooter\Libarys\include\glm\mat4x3.hpp                             | C++                |          5 |          2 |          2 |          9 |
| c:\First Person Shooter\Libarys\include\glm\mat4x4.hpp                             | C++                |          5 |          2 |          3 |         10 |
| c:\First Person Shooter\Libarys\include\glm\matrix.hpp                             | C++                |         78 |         63 |         21 |        162 |
| c:\First Person Shooter\Libarys\include\glm\packing.hpp                            | C++                |         20 |        136 |         18 |        174 |
| c:\First Person Shooter\Libarys\include\glm\simd\common.h                          | C++                |        197 |         11 |         33 |        241 |
| c:\First Person Shooter\Libarys\include\glm\simd\exponential.h                     | C++                |         12 |          2 |          7 |         21 |
| c:\First Person Shooter\Libarys\include\glm\simd\geometric.h                       | C++                |        105 |          2 |         18 |        125 |
| c:\First Person Shooter\Libarys\include\glm\simd\integer.h                         | C++                |         63 |         29 |         24 |        116 |
| c:\First Person Shooter\Libarys\include\glm\simd\matrix.h                          | C++                |        546 |        310 |        173 |      1,029 |
| c:\First Person Shooter\Libarys\include\glm\simd\neon.h                            | C++                |        144 |          2 |         10 |        156 |
| c:\First Person Shooter\Libarys\include\glm\simd\packing.h                         | C++                |          3 |          2 |          4 |          9 |
| c:\First Person Shooter\Libarys\include\glm\simd\platform.h                        | C++                |        343 |         21 |         35 |        399 |
| c:\First Person Shooter\Libarys\include\glm\simd\trigonometric.h                   | C++                |          3 |          2 |          5 |         10 |
| c:\First Person Shooter\Libarys\include\glm\simd\vector_relational.h               | C++                |          3 |          2 |          4 |          9 |
| c:\First Person Shooter\Libarys\include\glm\trigonometric.hpp                      | C++                |         37 |        153 |         21 |        211 |
| c:\First Person Shooter\Libarys\include\glm\vec2.hpp                               | C++                |         11 |          2 |          2 |         15 |
| c:\First Person Shooter\Libarys\include\glm\vec3.hpp                               | C++                |         11 |          2 |          2 |         15 |
| c:\First Person Shooter\Libarys\include\glm\vec4.hpp                               | C++                |         11 |          2 |          3 |         16 |
| c:\First Person Shooter\Libarys\include\glm\vector_relational.hpp                  | C++                |         25 |         82 |         15 |        122 |
| c:\First Person Shooter\Libarys\include\stb\stb_image.h                            | C++                |      5,833 |      1,294 |        861 |      7,988 |
| c:\First Person Shooter\Main.cpp                                                   | C++                |         52 |         15 |         25 |         92 |
| c:\First Person Shooter\Object.cpp                                                 | C++                |         43 |         11 |         17 |         71 |
| c:\First Person Shooter\Object.h                                                   | C++                |         21 |          0 |          4 |         25 |
| c:\First Person Shooter\Plane.cpp                                                  | C++                |         14 |          0 |          7 |         21 |
| c:\First Person Shooter\Plane.h                                                    | C++                |          6 |          0 |          1 |          7 |
| c:\First Person Shooter\README.md                                                  | Markdown           |         28 |          0 |         11 |         39 |
| c:\First Person Shooter\ShaderClass.cpp                                            | C++                |         41 |          0 |         12 |         53 |
| c:\First Person Shooter\ShaderClass.h                                              | C++                |         15 |          0 |          4 |         19 |
| c:\First Person Shooter\Texture.cpp                                                | C++                |         34 |          0 |         12 |         46 |
| c:\First Person Shooter\Texture.h                                                  | C++                |         10 |          0 |          4 |         14 |
| c:\First Person Shooter\VAO.cpp                                                    | C++                |         23 |          5 |          6 |         34 |
| c:\First Person Shooter\VAO.h                                                      | C++                |         12 |          0 |          2 |         14 |
| c:\First Person Shooter\VBO.cpp                                                    | C++                |         15 |          0 |          3 |         18 |
| c:\First Person Shooter\VBO.h                                                      | C++                |         10 |          0 |          3 |         13 |
| c:\First Person Shooter\Window.cpp                                                 | C++                |         23 |          9 |         11 |         43 |
| c:\First Person Shooter\Window.h                                                   | C++                |         12 |          6 |          3 |         21 |
| c:\First Person Shooter\default.frag                                               | GLSL               |         41 |          6 |         20 |         67 |
| c:\First Person Shooter\default.vert                                               | GLSL               |         16 |          0 |          7 |         23 |
| c:\First Person Shooter\glad.c                                                     | C                  |      1,769 |         25 |         47 |      1,841 |
| c:\First Person Shooter\light.frag                                                 | GLSL               |          6 |          0 |          4 |         10 |
| c:\First Person Shooter\light.vert                                                 | GLSL               |          8 |          0 |          3 |         11 |
| c:\First Person Shooter\stb_image.cpp                                              | C++                |          2 |          0 |          0 |          2 |
| Total                                                                              |                    |     51,805 |     19,573 |     11,179 |     82,557 |
+------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
