Date : 2026-08-06 22:41:39
Directory : c:\First Person Shooter
Total : 415 files,  51805 codes, 19573 comments, 11179 blanks, all 82557 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\First Person Shooter\Libarys\include\glm\detail\type_quat.hpp                   | C++                |        121 |         22 |         44 |        187 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_quat.inl                   | C++                |        321 |         29 |         59 |        409 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_quat_simd.inl              | C++                |        117 |         55 |         17 |        189 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_vec1.hpp                   | C++                |        194 |         47 |         68 |        309 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_vec1.inl                   | C++                |        453 |         13 |         86 |        552 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_vec2.hpp                   | C++                |        285 |         21 |         94 |        400 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_vec2.inl                   | C++                |        779 |         13 |        122 |        914 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_vec3.hpp                   | C++                |        313 |         24 |         96 |        433 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_vec3.inl                   | C++                |        927 |         13 |        129 |      1,069 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_vec4.hpp                   | C++                |        369 |         36 |        101 |        506 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_vec4.inl                   | C++                |        966 |         13 |        162 |      1,141 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_vec4_simd.inl              | C++                |        681 |          2 |         93 |        776 |
| c:\First Person Shooter\Libarys\include\glm\exponential.hpp                        | C++                |         24 |         74 |         13 |        111 |
| c:\First Person Shooter\Libarys\include\glm\ext.hpp                                | C++                |        174 |          3 |         20 |        197 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_clip_space.hpp              | C++                |        137 |        336 |         50 |        523 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_clip_space.inl              | C++                |        492 |          1 |         63 |        556 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_common.hpp                  | C++                |         14 |         14 |          9 |         37 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_common.inl                  | C++                |         14 |          0 |          3 |         17 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_double2x2.hpp               | C++                |          7 |         11 |          6 |         24 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_double2x2_precision.hpp     | C++                |         11 |         29 |         10 |         50 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_double2x3.hpp               | C++                |          6 |          8 |          5 |         19 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_double2x3_precision.hpp     | C++                |          8 |         17 |          7 |         32 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_double2x4.hpp               | C++                |          6 |          8 |          5 |         19 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_double2x4_precision.hpp     | C++                |          8 |         17 |          7 |         32 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_double3x2.hpp               | C++                |          6 |          8 |          5 |         19 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_double3x2_precision.hpp     | C++                |          8 |         17 |          7 |         32 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_double3x3.hpp               | C++                |          7 |         11 |          6 |         24 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_double3x3_precision.hpp     | C++                |         11 |         29 |         10 |         50 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_double3x4.hpp               | C++                |          6 |          8 |          5 |         19 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_double3x4_precision.hpp     | C++                |          8 |         17 |          7 |         32 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_double4x2.hpp               | C++                |          6 |          8 |          5 |         19 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_double4x2_precision.hpp     | C++                |          8 |         17 |          7 |         32 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_double4x3.hpp               | C++                |          6 |          8 |          5 |         19 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_double4x3_precision.hpp     | C++                |          8 |         17 |          7 |         32 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_double4x4.hpp               | C++                |          7 |         11 |          6 |         24 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_double4x4_precision.hpp     | C++                |         11 |         29 |         10 |         50 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_float2x2.hpp                | C++                |          7 |         11 |          6 |         24 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_float2x2_precision.hpp      | C++                |         11 |         29 |         10 |         50 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_float2x3.hpp                | C++                |          6 |          8 |          5 |         19 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_float2x3_precision.hpp      | C++                |          8 |         17 |          7 |         32 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_float2x4.hpp                | C++                |          6 |          8 |          5 |         19 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_float2x4_precision.hpp      | C++                |          8 |         17 |          7 |         32 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_float3x2.hpp                | C++                |          6 |          8 |          5 |         19 |
| c:\First Person Shooter\Libarys\include\glm\ext\matrix_float3x2_precision.hpp      | C++                |          8 |         17 |          7 |         32 |
